,precision,recall,f1-score,support
No Arrest (0),0.9169,0.9152,0.9161,198579
Arrest (1),0.5558,0.5613,0.5586,37535
macro avg,0.7364,0.7383,0.7373,236114
weighted avg,0.8595,0.859,0.8592,236114
