,precision,recall,f1-score,support
No Arrest (0),0.9254,0.8169,0.8678,198579
Arrest (1),0.4023,0.6518,0.4975,37535
macro avg,0.6639,0.7344,0.6827,236114
weighted avg,0.8423,0.7907,0.8089,236114
