,precision,recall,f1-score,support
No Arrest (0),0.9251,0.8847,0.9044,198579.0
Arrest (1),0.5044,0.6209,0.5566,37535.0
accuracy,0.8428,0.8428,0.8428,0.8428
macro avg,0.7147,0.7528,0.7305,236114.0
weighted avg,0.8582,0.8428,0.8491,236114.0
