Primary Type,District,arrest_rate,total_cases
CRIMINAL DAMAGE,2,0.0401,16164
CRIMINAL DAMAGE,3,0.0499,18430
CRIMINAL DAMAGE,4,0.0458,21974
CRIMINAL DAMAGE,5,0.0503,17308
CRIMINAL DAMAGE,6,0.0544,22467
CRIMINAL DAMAGE,7,0.0535,17337
CRIMINAL DAMAGE,8,0.0455,24736
CRIMINAL DAMAGE,9,0.0563,16563
CRIMINAL DAMAGE,10,0.0632,15259
CRIMINAL DAMAGE,11,0.0578,18053
CRIMINAL DAMAGE,12,0.0343,18323
CRIMINAL DAMAGE,14,0.0556,11933
CRIMINAL DAMAGE,15,0.057,12361
CRIMINAL DAMAGE,16,0.0479,11745
CRIMINAL DAMAGE,17,0.0404,10589
CRIMINAL DAMAGE,18,0.0545,10032
CRIMINAL DAMAGE,19,0.0521,13090
CRIMINAL DAMAGE,20,0.0588,5747
CRIMINAL DAMAGE,22,0.048,12090
CRIMINAL DAMAGE,24,0.0453,11144
CRIMINAL DAMAGE,25,0.0479,17449
CRIMINAL DAMAGE,31,0.0,10
CRIMINAL SEXUAL ASSAULT,1,0.0432,509
CRIMINAL SEXUAL ASSAULT,2,0.0481,520
CRIMINAL SEXUAL ASSAULT,3,0.0604,530
CRIMINAL SEXUAL ASSAULT,4,0.1109,568
CRIMINAL SEXUAL ASSAULT,5,0.112,384
CRIMINAL SEXUAL ASSAULT,6,0.0719,556
CRIMINAL SEXUAL ASSAULT,7,0.0645,512
CRIMINAL SEXUAL ASSAULT,8,0.0713,645
CRIMINAL SEXUAL ASSAULT,9,0.0682,440
CRIMINAL SEXUAL ASSAULT,10,0.0778,527
CRIMINAL SEXUAL ASSAULT,11,0.052,654
CRIMINAL SEXUAL ASSAULT,12,0.0606,627
CRIMINAL SEXUAL ASSAULT,14,0.071,324
CRIMINAL SEXUAL ASSAULT,15,0.0619,485
CRIMINAL SEXUAL ASSAULT,16,0.0948,306
CRIMINAL SEXUAL ASSAULT,17,0.0939,309
CRIMINAL SEXUAL ASSAULT,18,0.0298,973
CRIMINAL SEXUAL ASSAULT,19,0.0544,698
CRIMINAL SEXUAL ASSAULT,20,0.0389,334
CRIMINAL SEXUAL ASSAULT,22,0.0758,277
CRIMINAL SEXUAL ASSAULT,24,0.0616,406
CRIMINAL SEXUAL ASSAULT,25,0.0833,492
CRIMINAL TRESPASS,1,0.5908,5704
CRIMINAL TRESPASS,2,0.4392,2696
CRIMINAL TRESPASS,3,0.539,3154
CRIMINAL TRESPASS,4,0.4721,3459
CRIMINAL TRESPASS,5,0.5944,2764
CRIMINAL TRESPASS,6,0.5345,4082
CRIMINAL TRESPASS,7,0.5981,2712
CRIMINAL TRESPASS,8,0.4365,3395
CRIMINAL TRESPASS,9,0.4644,2571
CRIMINAL TRESPASS,10,0.6011,2429
CRIMINAL TRESPASS,11,0.5566,3403
CRIMINAL TRESPASS,12,0.4282,3559
CRIMINAL TRESPASS,14,0.4413,2162
CRIMINAL TRESPASS,15,0.5699,2097
CRIMINAL TRESPASS,16,0.554,3684
CRIMINAL TRESPASS,17,0.2525,1719
CRIMINAL TRESPASS,18,0.5171,4777
CRIMINAL TRESPASS,19,0.4043,4138
CRIMINAL TRESPASS,20,0.4066,1707
CRIMINAL TRESPASS,22,0.432,2257
CRIMINAL TRESPASS,24,0.4235,2496
CRIMINAL TRESPASS,25,0.4685,2615
CRIMINAL TRESPASS,31,0.6,5
DECEPTIVE PRACTICE,1,0.0757,18637
DECEPTIVE PRACTICE,2,0.0279,9536
DECEPTIVE PRACTICE,3,0.0323,7472
DECEPTIVE PRACTICE,4,0.0307,8925
DECEPTIVE PRACTICE,5,0.033,6242
DECEPTIVE PRACTICE,6,0.0508,9787
DECEPTIVE PRACTICE,7,0.0705,6068
DECEPTIVE PRACTICE,8,0.0289,14135
DECEPTIVE PRACTICE,9,0.0454,7783
DECEPTIVE PRACTICE,10,0.0506,5787
DECEPTIVE PRACTICE,11,0.1064,6721
DECEPTIVE PRACTICE,12,0.0308,11549
DECEPTIVE PRACTICE,14,0.0339,7690
DECEPTIVE PRACTICE,15,0.0295,5191
DECEPTIVE PRACTICE,16,0.0291,12251
DECEPTIVE PRACTICE,17,0.0265,6866
DECEPTIVE PRACTICE,18,0.0597,19110
DECEPTIVE PRACTICE,19,0.0319,16125
DECEPTIVE PRACTICE,20,0.0259,5840
DECEPTIVE PRACTICE,22,0.0273,8394
DECEPTIVE PRACTICE,24,0.0233,7769
DECEPTIVE PRACTICE,25,0.0266,10993
DECEPTIVE PRACTICE,31,0.5806,31
GAMBLING,1,1.0,14
GAMBLING,2,1.0,27
GAMBLING,3,1.0,68
GAMBLING,4,1.0,66
GAMBLING,5,1.0,55
GAMBLING,6,0.9875,80
GAMBLING,7,1.0,200
GAMBLING,8,1.0,105
GAMBLING,9,1.0,25
GAMBLING,10,0.9933,150
GAMBLING,11,1.0,379
GAMBLING,12,1.0,23
GAMBLING,14,0.75,4
GAMBLING,15,1.0,203
GAMBLING,16,1.0,10
GAMBLING,17,0.9375,16
GAMBLING,18,1.0,15
GAMBLING,19,1.0,6
GAMBLING,20,1.0,9
GAMBLING,22,1.0,20
GAMBLING,24,1.0,10
GAMBLING,25,1.0,38
HOMICIDE,1,0.5833,108
HOMICIDE,2,0.4404,302
HOMICIDE,3,0.4195,503
HOMICIDE,4,0.4197,517
HOMICIDE,5,0.3762,513
HOMICIDE,6,0.3373,673
HOMICIDE,7,0.3323,644
HOMICIDE,8,0.4516,434
HOMICIDE,9,0.389,455
HOMICIDE,10,0.3189,508
HOMICIDE,11,0.3224,884
HOMICIDE,12,0.3112,286
HOMICIDE,14,0.5586,111
HOMICIDE,15,0.3851,522
HOMICIDE,16,0.8696,69
HOMICIDE,17,0.6667,99
HOMICIDE,18,0.6118,85
HOMICIDE,19,0.527,74
HOMICIDE,20,0.5476,42
HOMICIDE,22,0.4024,246
HOMICIDE,24,0.5328,122
HOMICIDE,25,0.5191,314
HUMAN TRAFFICKING,1,0.4,5
HUMAN TRAFFICKING,2,0.0,8
HUMAN TRAFFICKING,3,0.0,8
HUMAN TRAFFICKING,4,0.1429,7
HUMAN TRAFFICKING,5,0.125,8
HUMAN TRAFFICKING,6,0.0,10
HUMAN TRAFFICKING,7,0.1818,11
HUMAN TRAFFICKING,8,0.0,4
HUMAN TRAFFICKING,9,0.0,7
HUMAN TRAFFICKING,10,0.0,8
HUMAN TRAFFICKING,11,0.0,11
HUMAN TRAFFICKING,12,0.0,9
HUMAN TRAFFICKING,14,0.0,1
HUMAN TRAFFICKING,15,0.2,10
HUMAN TRAFFICKING,16,0.2,5
HUMAN TRAFFICKING,17,0.5,4
HUMAN TRAFFICKING,18,0.0,3
HUMAN TRAFFICKING,19,0.5,2
HUMAN TRAFFICKING,22,0.0,4
HUMAN TRAFFICKING,24,0.0,1
HUMAN TRAFFICKING,25,0.0,8
INTERFERENCE WITH PUBLIC OFFICER,1,0.9274,468
INTERFERENCE WITH PUBLIC OFFICER,2,0.8908,348
INTERFERENCE WITH PUBLIC OFFICER,3,0.9397,580
INTERFERENCE WITH PUBLIC OFFICER,4,0.9605,860
INTERFERENCE WITH PUBLIC OFFICER,5,0.9561,843
INTERFERENCE WITH PUBLIC OFFICER,6,0.9135,971
INTERFERENCE WITH PUBLIC OFFICER,7,0.9296,1051
INTERFERENCE WITH PUBLIC OFFICER,8,0.9615,494
INTERFERENCE WITH PUBLIC OFFICER,9,0.95,540
INTERFERENCE WITH PUBLIC OFFICER,10,0.9551,557
INTERFERENCE WITH PUBLIC OFFICER,11,0.9395,1373
INTERFERENCE WITH PUBLIC OFFICER,12,0.9329,283
INTERFERENCE WITH PUBLIC OFFICER,14,0.9286,168
INTERFERENCE WITH PUBLIC OFFICER,15,0.9124,605
INTERFERENCE WITH PUBLIC OFFICER,16,0.8987,158
INTERFERENCE WITH PUBLIC OFFICER,17,0.8627,102
INTERFERENCE WITH PUBLIC OFFICER,18,0.9196,286
INTERFERENCE WITH PUBLIC OFFICER,19,0.8876,178
INTERFERENCE WITH PUBLIC OFFICER,20,0.8764,89
INTERFERENCE WITH PUBLIC OFFICER,22,0.9243,370
INTERFERENCE WITH PUBLIC OFFICER,24,0.8981,206
INTERFERENCE WITH PUBLIC OFFICER,25,0.9537,605
INTIMIDATION,1,0.1161,112
INTIMIDATION,2,0.0633,79
INTIMIDATION,3,0.0897,78
INTIMIDATION,4,0.0286,70
INTIMIDATION,5,0.1429,63
INTIMIDATION,6,0.0926,54
INTIMIDATION,7,0.0781,64
INTIMIDATION,8,0.0608,148
INTIMIDATION,9,0.0403,124
INTIMIDATION,10,0.1099,91
INTIMIDATION,11,0.1406,64
INTIMIDATION,12,0.0656,122
INTIMIDATION,14,0.0208,48
INTIMIDATION,15,0.1017,59
INTIMIDATION,16,0.0465,86
INTIMIDATION,17,0.0676,74
INTIMIDATION,18,0.0556,108
INTIMIDATION,19,0.0439,114
INTIMIDATION,20,0.0435,46
INTIMIDATION,22,0.1064,47
INTIMIDATION,24,0.0417,96
INTIMIDATION,25,0.0645,124
KIDNAPPING,1,0.0,44
KIDNAPPING,2,0.0694,72
KIDNAPPING,3,0.0714,98
KIDNAPPING,4,0.0403,149
KIDNAPPING,5,0.0463,108
KIDNAPPING,6,0.0709,141
KIDNAPPING,7,0.0708,113
KIDNAPPING,8,0.0625,160
KIDNAPPING,9,0.1124,89
KIDNAPPING,10,0.1333,60
KIDNAPPING,11,0.025,80
KIDNAPPING,12,0.0682,44
KIDNAPPING,14,0.1471,34
KIDNAPPING,15,0.05,60
KIDNAPPING,16,0.0708,113
KIDNAPPING,17,0.1463,41
KIDNAPPING,18,0.1273,55
KIDNAPPING,19,0.0732,41
KIDNAPPING,20,0.2308,26
KIDNAPPING,22,0.041,122
KIDNAPPING,24,0.1053,38
KIDNAPPING,25,0.0734,109
LIQUOR LAW VIOLATION,1,0.9612,129
LIQUOR LAW VIOLATION,2,1.0,50
LIQUOR LAW VIOLATION,3,0.92,50
LIQUOR LAW VIOLATION,4,1.0,142
LIQUOR LAW VIOLATION,5,1.0,47
LIQUOR LAW VIOLATION,6,1.0,62
LIQUOR LAW VIOLATION,7,0.9492,59
LIQUOR LAW VIOLATION,8,0.9699,133
LIQUOR LAW VIOLATION,9,0.9542,153
LIQUOR LAW VIOLATION,10,1.0,196
LIQUOR LAW VIOLATION,11,0.9717,106
LIQUOR LAW VIOLATION,12,0.9865,222
LIQUOR LAW VIOLATION,14,1.0,158
LIQUOR LAW VIOLATION,15,0.9592,49
LIQUOR LAW VIOLATION,16,0.9927,137
LIQUOR LAW VIOLATION,17,1.0,99
LIQUOR LAW VIOLATION,18,0.985,334
LIQUOR LAW VIOLATION,19,1.0,238
LIQUOR LAW VIOLATION,20,1.0,44
LIQUOR LAW VIOLATION,22,0.9857,70
LIQUOR LAW VIOLATION,24,1.0,86
LIQUOR LAW VIOLATION,25,0.9613,155
MOTOR VEHICLE THEFT,1,0.0344,6476
MOTOR VEHICLE THEFT,2,0.047,10655
MOTOR VEHICLE THEFT,3,0.0463,9093
MOTOR VEHICLE THEFT,4,0.0364,11025
MOTOR VEHICLE THEFT,5,0.0344,7412
MOTOR VEHICLE THEFT,6,0.0379,10880
MOTOR VEHICLE THEFT,7,0.0561,7377
MOTOR VEHICLE THEFT,8,0.0574,12546
MOTOR VEHICLE THEFT,9,0.058,7356
MOTOR VEHICLE THEFT,10,0.0781,6785
MOTOR VEHICLE THEFT,11,0.0684,9588
MOTOR VEHICLE THEFT,12,0.0359,11701
MOTOR VEHICLE THEFT,14,0.0477,6419
MOTOR VEHICLE THEFT,15,0.0592,6474
MOTOR VEHICLE THEFT,16,0.0511,5653
MOTOR VEHICLE THEFT,17,0.0447,5302
MOTOR VEHICLE THEFT,18,0.0514,5695
MOTOR VEHICLE THEFT,19,0.0378,6770
MOTOR VEHICLE THEFT,20,0.0444,2638
MOTOR VEHICLE THEFT,22,0.0385,6239
MOTOR VEHICLE THEFT,24,0.0382,5032
MOTOR VEHICLE THEFT,25,0.0541,10712
MOTOR VEHICLE THEFT,31,0.0,2
NARCOTICS,1,0.9581,2577
NARCOTICS,2,0.9912,3418
NARCOTICS,3,0.9876,4425
NARCOTICS,4,0.9957,6218
NARCOTICS,5,0.9965,4923
NARCOTICS,6,0.9952,7073
NARCOTICS,7,0.9931,9920
NARCOTICS,8,0.9913,6127
NARCOTICS,9,0.9924,5379
NARCOTICS,10,0.9944,12563
NARCOTICS,11,0.9975,40976
NARCOTICS,12,0.981,3478
NARCOTICS,14,0.98,1602
NARCOTICS,15,0.9968,12702
NARCOTICS,16,0.9867,3387
NARCOTICS,17,0.981,1734
NARCOTICS,18,0.9774,1948
NARCOTICS,19,0.9866,2022
NARCOTICS,20,0.988,1084
NARCOTICS,22,0.9953,2948
NARCOTICS,24,0.9806,1957
NARCOTICS,25,0.985,6804
NARCOTICS,31,1.0,2
NON-CRIMINAL,1,0.5,2
NON-CRIMINAL,3,1.0,1
NON-CRIMINAL,4,0.0,2
NON-CRIMINAL,5,0.0,3
NON-CRIMINAL,8,0.3333,3
NON-CRIMINAL,10,0.0,2
NON-CRIMINAL,12,0.5,2
NON-CRIMINAL,15,0.0,1
NON-CRIMINAL,16,0.0,1
NON-CRIMINAL,18,1.0,3
NON-CRIMINAL,22,0.0,3
NON-CRIMINAL,24,1.0,1
NON-CRIMINAL,25,0.5,2
OBSCENITY,1,0.5357,28
OBSCENITY,2,0.7073,41
OBSCENITY,3,0.7308,26
OBSCENITY,4,0.7568,37
OBSCENITY,5,0.65,20
OBSCENITY,6,0.5833,24
OBSCENITY,7,0.7059,17
OBSCENITY,8,0.6867,83
OBSCENITY,9,0.65,40
OBSCENITY,10,0.6333,30
OBSCENITY,11,0.7333,30
OBSCENITY,12,0.8056,36
OBSCENITY,14,0.4737,19
