Primary Type,District,arrest_rate,total_cases
STALKING,11,0.0542,166
STALKING,12,0.0726,248
STALKING,14,0.1181,127
STALKING,15,0.117,94
STALKING,16,0.0928,194
STALKING,17,0.0982,112
STALKING,18,0.0885,192
STALKING,19,0.0867,173
STALKING,20,0.0946,74
STALKING,22,0.0826,109
STALKING,24,0.1374,131
STALKING,25,0.0877,171
THEFT,1,0.1353,66104
THEFT,2,0.0643,31106
THEFT,3,0.0532,23443
THEFT,4,0.0602,26809
THEFT,5,0.1107,19613
THEFT,6,0.1189,31784
THEFT,7,0.051,19995
THEFT,8,0.0763,37431
THEFT,9,0.0833,25522
THEFT,10,0.0766,19480
THEFT,11,0.0478,21350
THEFT,12,0.0574,49142
THEFT,14,0.0736,36742
THEFT,15,0.0494,14966
THEFT,16,0.0543,24887
THEFT,17,0.0906,24040
THEFT,18,0.1024,66596
THEFT,19,0.0737,53045
THEFT,20,0.0886,16142
THEFT,22,0.0819,18933
THEFT,24,0.0823,24754
THEFT,25,0.1329,30838
THEFT,31,0.1579,19
WEAPONS VIOLATION,1,0.8635,1539
WEAPONS VIOLATION,2,0.5909,3036
WEAPONS VIOLATION,3,0.6095,5058
WEAPONS VIOLATION,4,0.5866,5469
WEAPONS VIOLATION,5,0.6499,5587
WEAPONS VIOLATION,6,0.7145,6511
WEAPONS VIOLATION,7,0.7408,7288
WEAPONS VIOLATION,8,0.5621,4618
WEAPONS VIOLATION,9,0.5775,4440
WEAPONS VIOLATION,10,0.7177,5554
WEAPONS VIOLATION,11,0.7462,7089
WEAPONS VIOLATION,12,0.7112,1835
WEAPONS VIOLATION,14,0.5514,1148
WEAPONS VIOLATION,15,0.6658,3570
WEAPONS VIOLATION,16,0.6123,815
WEAPONS VIOLATION,17,0.4329,991
WEAPONS VIOLATION,18,0.9029,1771
WEAPONS VIOLATION,19,0.7256,645
WEAPONS VIOLATION,20,0.5963,322
WEAPONS VIOLATION,22,0.8301,2301
WEAPONS VIOLATION,24,0.6077,854
WEAPONS VIOLATION,25,0.6053,4051
